Room Number,Square Footage,Occupancy,Quality Score,Floorplan Score,,,,,,Singles Dorms,Doubles Dorms,,Location Rating,Description
GRAD CENTER D 440 445,117,1,0,0,,,,,,,,,,
GRAD CENTER D 440 446,128,1,0,0,,,,,,,,,,
GRAD CENTER D 510 511,121,1,0,0,,,,,,,,,,
GRAD CENTER D 510 512,117,1,0,0,,,,,,,,,,
GRAD CENTER D 510 513,128,1,0,0,,,,,,,,,,
GRAD CENTER D 510 514,117,1,0,0,,,,,,,,,,
GRAD CENTER D 510 515,129,1,0,0,,,,,,,,,,
GRAD CENTER D 520 521,128,1,0,0,,,,,,,,,,
GRAD CENTER D 520 522,121,1,0,0,,,,,,,,,,
GRAD CENTER D 520 523,117,1,0,0,,,,,,,,,,
GRAD CENTER D 520 524,128,1,0,0,,,,,,,,,,
GRAD CENTER D 520 525,117,1,0,0,,,,,,,,,,
GRAD CENTER D 520 526,128,1,0,0,,,,,,,,,,
GRAD CENTER D 540 541,128,1,0,0,,,,,,,,,,
GRAD CENTER D 540 542,121,1,0,0,,,,,,,,,,
GRAD CENTER D 540 543,117,1,0,0,,,,,,,,,,
GRAD CENTER D 540 544,128,1,0,0,,,,,,,,,,
GRAD CENTER D 540 545,117,1,0,0,,,,,,,,,,
GRAD CENTER D 540 546,128,1,0,0,,,,,,,,,,
GRAD CENTER D 630 631,121,1,0,0,,,,,,,,,,
GRAD CENTER D 630 632,117,1,0,0,,,,,,,,,,
GRAD CENTER D 630 633,128,1,0,0,,,,,,,,,,
GRAD CENTER D 630 634,117,1,0,0,,,,,,,,,,
GRAD CENTER D 630 635,128,1,0,0,,,,,,,,,,
GRAD CENTER D 640 641,128,1,0,0,,,,,,,,,,
GRAD CENTER D 640 642,121,1,0,0,,,,,,,,,,
GRAD CENTER D 640 643,117,1,0,0,,,,,,,,,,
GRAD CENTER D 640 644,128,1,0,0,,,,,,,,,,
GRAD CENTER D 640 645,117,1,0,0,,,,,,,,,,
GRAD CENTER D 640 646,128,1,0,0,,,,,,,,,,
GREGORIAN QUAD A 501,351,2,0,0,,,,,,,,,,
GREGORIAN QUAD A 502,345,2,0,0,,,,,,,,,,
GREGORIAN QUAD A 503,349,2,0,0,,,,,,,,,,
GREGORIAN QUAD A 504,349,2,0,0,,,,,,,,,,
GREGORIAN QUAD A 505,349,2,0,0,,,,,,,,,,
GREGORIAN QUAD A 506,349,2,0,0,,,,,,,,,,
GREGORIAN QUAD A 507,351,2,0,0,,,,,,,,,,
GREGORIAN QUAD A 508,351,2,0,0,,,,,,,,,,
GREGORIAN QUAD A 509,307,2,0,0,,,,,,,,,,
GREGORIAN QUAD A 510,329,2,0,0,,,,,,,,,,
GREGORIAN QUAD A 511,333,2,0,0,,,,,,,,,,
GREGORIAN QUAD A 512,347,2,0,0,,,,,,,,,,
GREGORIAN QUAD A 601,300,2,0,0,,,,,,,,,,
GREGORIAN QUAD A 602,253,2,0,0,,,,,,,,,,
GREGORIAN QUAD A 603,301,2,0,0,,,,,,,,,,
GREGORIAN QUAD A 604,301,2,0,0,,,,,,,,,,
GREGORIAN QUAD A 605,301,2,0,0,,,,,,,,,,
GREGORIAN QUAD A 606,301,2,0,0,,,,,,,,,,
GREGORIAN QUAD A 607,300,2,0,0,,,,,,,,,,
GREGORIAN QUAD A 608,300,2,0,0,,,,,,,,,,
GREGORIAN QUAD A 611,404,2,0,0,,,,,,,,,,
GREGORIAN QUAD A 612,416,2,0,0,,,,,,,,,,
HOPE COLLEGE 106,113,1,0,0,,,,,,,,,,
HOPE COLLEGE 107,197,2,0,0,,,,,,,,,,
HOPE COLLEGE 108,118,1,0,0,,,,,,,,,,
HOPE COLLEGE 112,260,2,0,0,,,,,,,,,,
HOPE COLLEGE 114,118,1,0,0,,,,,,,,,,
HOPE COLLEGE 117,189,2,0,0,,,,,,,,,,
HOPE COLLEGE 119,230,2,0,0,,,,,,,,,,
HOPE COLLEGE 120,247,2,0,0,,,,,,,,,,
HOPE COLLEGE 201,216,2,0,0,,,,,,,,,,
HOPE COLLEGE 202,214,2,0,0,,,,,,,,,,
HOPE COLLEGE 203,204,2,0,0,,,,,,,,,,
HOPE COLLEGE 212,263,2,0,0,,,,,,,,,,
HOPE COLLEGE 217,200,2,0,0,,,,,,,,,,
HOPE COLLEGE 219,230,2,0,0,,,,,,,,,,
HOPE COLLEGE 220,247,2,0,0,,,,,,,,,,
HOPE COLLEGE 301,216,2,0,0,,,,,,,,,,
HOPE COLLEGE 302,214,2,0,0,,,,,,,,,,
HOPE COLLEGE 303,204,2,0,0,,,,,,,,,,
HOPE COLLEGE 306,113,1,0,0,,,,,,,,,,
HOPE COLLEGE 307,197,2,0,0,,,,,,,,,,
HOPE COLLEGE 312,263,2,0,0,,,,,,,,,,
HOPE COLLEGE 315,196,2,0,0,,,,,,,,,,
HOPE COLLEGE 317,200,2,0,0,,,,,,,,,,
HOPE COLLEGE 319,230,2,0,0,,,,,,,,,,
HOPE COLLEGE 320,247,2,0,0,,,,,,,,,,
LITTLEFIELD HALL 101,231,2,0,0,,,,,,,,,,
LITTLEFIELD HALL 105,212,2,0,0,,,,,,,,,,
LITTLEFIELD HALL 107,216,2,0,0,,,,,,,,,,
LITTLEFIELD HALL 108,234,2,0,0,,,,,,,,,,
LITTLEFIELD HALL 109,224,2,0,0,,,,,,,,,,
LITTLEFIELD HALL 112,252,2,0,0,,,,,,,,,,
LITTLEFIELD HALL 201,231,2,0,0,,,,,,,,,,
LITTLEFIELD HALL 205,212,2,0,0,,,,,,,,,,
LITTLEFIELD HALL 207,216,2,0,0,,,,,,,,,,
LITTLEFIELD HALL 209,224,2,0,0,,,,,,,,,,
